['mimdepapai.', 'the.king', 'email', 'Edson  Luis. Mechilino', 'gutergues', 'lvasquez', 'Check Matte', 'Edersonrodrigo', 'ValadaresJoão', 'Fulano de Tal', 'ClariceSampaio', 'signorelli7']
['Camponazzi', 'Osni1111', 'C ZAGUINI', 'Franciley', 'signorelli7', 'email', 'Vitera', 'multiplanos', 'email', 'Expressodoamorr', 'Lorini12', 'email']
['Fabiano_Nigro', 'Chiminazzo', 'maxwkoehler', 'waltz221', 'beninho', 'Mcmota3', 'Pedrinhomistral', 'hegon', 'Massani Otávio', 'alexsandro333ss', 'email', 'diman13']
['Pac_Man', 'calculadora', 'cintiakreutz', 'GibbaCBA', 'EDU_VOGT', 'Dani_alamo_adv', 'diman13', 'laurataciana', 'Nikyx', 'K.I.W.A.2000', 'PatríciaBretas', 'VACINADO']
['L.Mleonardo', 'Djcrispiva', 'floracarolina', 'email', 'ricardomonti', 'Glaucio23', 'MAEDA', 'Fan1000lan.', 'Nãovaiganhar', 'RJader', 'Cabana', 'rodriguesmatheus381']
['Victor Gomide', '@mariomarques21', 'Eded', 'Esseemeunemvem', 'Fan1000lan.', 'Yanno.Carvalho', 'danisipoli', 'R&amp;M_Lopes', 'email', 'Weverton Campos', 'João Pedro Queiroz', 'Catenacci']
['Chiminazzo', 'Fan1000lan.', 'mahrodriguess2', 'Eded', 'LaminadosSP', 'WagnerGomes13', 'Kaião 2000', 'Revinho85', 'Jonatan1903', 'VOU.SIM!', 'Gonçalves35', 'Adriana Peixoto']
['Deila_Costa_EUA', 'email', 'RICAMIL', 'almirojunior', 'f.panigassi', 'Val_Duprat', 'Jonatan1903', 'Rapha_Zanetti_SP', 'Kikocren', 'TAKARU', 'email', 'CNLBABR']
['esse é meu sim', 'Ninguemmepega', 'ENCERRAD0', 'flávioaldeiadaserra', 'email', 'milaschecin', 'Marcos M3', 'Maremix', 'email', '@quézionogueira', 'OscarRody', 'Karlos13']
['Votoriosa65', 'rikko2210', 'email', 'j.menezes-sc', 'bel chinaglia', 'AutoGarcia', 'henning_fabio', 'flaviolima04', 'Chacal0', 'email', 'Leandro Correa', 'flaviolima04']
['marciobc90', 'Trevor12', 'WalkerJR.', 'Jaguarzim', 'Thiagobrayan', 'liziero', 'BrunoMT', 'Henrique1218', 'fabiomota529', 'terráqueo', 'Sah_Caleron', 'Thiagobrayan']
['CRACUDO76', 'JotinhaXP', '1314', 'G.TEDESCO', 'Jaguar3', 'ricardomonti', 'email', 'zetti.', 'Eded', 'email', 'email', 'KANDREVA']
['SONHADOR13', 'icoelho', 'MTORRES2006', 'milaschecin', 'átmosprime', 'Viviyujp', 'pedrogalvan', 'deixacomigoesse', 'MTORRES2006', 'flávioaldeiadaserra', 'Lotif', 'Jediel_Londrina']
['Chacal1', 'Nãovaiganhar', 'Tasociso', 'TAKARU', 'Eder_Venâncio', 'hmcadv12', 'C ZAGUINI', 'Ruthhy', 'Zanellinha', 'Zamboni_Marcos', 'georgeluism', 'diogocarrodesom']
['narangels', '@delmarques22', 'email', 'p.caldana', 'Maremix', 'm.piovezani', '$aaN', 'ugan_silva', 'CarlaEtna', 'FREDDI', 'Multimilionário', 'Takarinho']
['paulootribess', 'Venâncio13', 'OscarRody', 'BASALTOMINAS', 'Plobo', 'LaminadosSP', 'Maccheri', 'Clauberth1', 'EveliseSan', 'Eduardo S A', 'Fabiomonti7', 'AlexDavi14']
['email', 'Mklord', 'Chacal3', 'Emerson Viegas', 'RiguettoGMR', 'Luana.oliveira', 'email', 'wilsonmarconato', 'fcrribeiro', 'email', 'email', 'Lance.do.Cidão']
['mazetto_Sjc', 'Cabana', 'R&amp;M_Lopes', 'jrporto0982', 'FabrícioN1', 'nairtcs', 'Canário', 'Waldemir AWS', 'email', 'EDU_VOGT', 'LiderBTC', 'Igoooor']
['claucap_pr', 'Eder_Venâncio', 'zivickovict', 'email', 'AquinoLuíz', 'Leandro Correa', 'clovis_p_junior', 'Mcleandrim', 'email', 'Hermes28', 'Igoooor', 'j.veccio']
['marcobonazi', 'mod64bits', 'xandytimão', '@guiza1973', 'Pleonardon', 'EDILSON DE PAULA', '@tony.co', 'Fer Monti 2022', 'propriamente', 'wandy90', 'C ZAGUINI', 'Jairo_Marsil']
['01889849685', 'EDILSON DE PAULA', 'Salberg00', 'Adélio_M_Salles', 'BjMorais', 'R.Possebon', 'Edgar jr', 'walmarques', 'Elis1210', 'LinsRenata', 'Sr.Zadi', 'klaussathler']
