['A Intel Core', 'Pacote 100 Lances', 'Parafusadeira e Furadeira', 'Aspirador Robô Mondial', 'Patinete Elétrico Foston', 'Pacote 50 Lances', 'Pacote 50 Lances', '5 Digital Edition', 'Cadeira de escrit', 'MacBook Air Intel', 'Pacote 100 Lances', 'Apple Watch Series']
['Pacote 100 Lances', 'Cervejeira Metalfrio VN50FL', 'Drone Multilaser Eagle', 'Cama Box Colch', 'Pacote 50 Lances', 'PIX de 500', 'Pacote 50 Lances', 'Smart TV 75', 'Patinete Elétrico Maj', 'Pacote 100 Lances', 'MacBook Air Intel', 'Pacote 100 Lances']
['Cadeira Escritório Executiva', 'Drone Multilaser Eagle', 'GoPro HERO 9', 'Bicicleta Aro 29', 'Pacote 50 Lances', 'Fone Bose Quietcomfort', 'Pacote 50 Lances', 'Smart TV LED', 'Mesa para Notebook', 'Pacote 100 Lances', 'iPhone 12 Pro', 'PIX de 500']
['Pacote 50 Lances', 'Caixa de Som', 'Pacote 50 Lances', 'A Intel Core', '5 Digital Edition', 'GoPro HERO 9', 'Pacote 100 Lances', 'Apple Watch Series', 'Refrigerador Brastemp Frost', 'Smart TV LED', 'Pacote 100 Lances', 'Tablet How 7']
['Pacote 50 Lances', 'Pacote 50 Lances', 'iPhone 12 Pro', 'PIX de 1.000', 'Patinete Elétrico Foston', 'Smart TV Led', 'Pacote 100 Lances', 'PIX de 500', 'Pacote 50 Lances', 'Computador Completo Monitor', '5 Digital Edition', 'Pacote 50 Lances']
['Apple Watch Series', 'Pacote 100 Lances', 'MacBook Air Intel', 'Pacote 100 Lances', 'Drone Multilaser Eagle', 'Smart TV 75', 'PIX de 200', 'Pacote 50 Lances', 'Patinete Elétrico Maj', 'Bicicleta Aro 29', 'Impressora Canon Pixma', 'Pacote 50 Lances']
['Pacote 100 Lances', 'iPhone 12 Pro', 'Fone De Ouvido', 'Patinete Elétrico Foston', 'Pacote 50 Lances', 'Cafeteira Dolce Gusto', 'Pacote 50 Lances', 'GoPro HERO 9', 'A Intel Core', 'PIX de 1.000', 'Cervejeira Metalfrio VN50FL', 'Pacote 100 Lances']
['Smart TV LED', 'Pacote 100 Lances', 'f15 core i7', 'Tablet How 7', 'iPhone 12 Pro', 'Drone Multilaser Eagle', 'Pacote 50 Lances', 'Pacote 50 Lances', 'iPad Air 10', 'Pacote 100 Lances', 'Câmera Insta360 One', 'Pacote 50 Lances']
['Lava E Seca', '5 Polegadas Vermelho', 'PIX de 500', 'Pacote 50 Lances', 'Honda CG 160', 'Pacote 100 Lances', 'MacBook Air Intel', 'Mini Ar Condicionado', 'Pacote 100 Lances', 'PIX de 200', 'Cervejeira Metalfrio VN50FL', 'Smart TV LED']
['Pacote 50 Lances', 'Maquina De Gelo', 'Pacote 50 Lances', 'Adega 8 garrafas', 'iPhone 12 Pro', 'Pacote 100 Lances', 'Patinete Elétrico Foston', 'PIX de 1.000', 'Pacote 50 Lances', 'Notebook Dell Core', 'Pacote 50 Lances', 'A Intel Core']
['Smart TV 4K', 'Pacote 100 Lances', 'Pacote 100 Lances', '5 Digital Edition', 'Fone Bose Quietcomfort', 'Cadeira Escritório Executiva', 'Smart TV Led', 'Patinete Elétrico Maj', 'Caixa de Som', 'Pacote 50 Lances', 'Pacote 50 Lances', 'GoPro HERO 9']
['Aspirador de P', 'Pacote 100 Lances', 'Bicicleta Aro 29', 'iPhone 12 Pro', 'iPhone 12 Pro', 'Pacote 50 Lances', 'Pacote 50 Lances', 'MacBook Air Intel', 'Pacote 100 Lances', 'GoPro HERO 9', 'Cervejeira Metalfrio VN50FL', '5 Digital Edition']
